file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-12	lik_L_12-10	lik_L_10-0	lik_M_51-13	lik_M_13-11	lik_M_11-0
Fix_1_2_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-356.602	-34.055	-76.613	-61.56	-123.087	-1.995	-30.618	-28.673
Fix_1_2_Grainsizeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-364.252	-35.15	-81.694	-62.437	-123.919	-0.816	-30.9	-29.336
Fix_1_2_Ins41_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-370.033	-34.176	-88.069	-62.182	-123.254	-3.328	-29.689	-29.334
Fix_1_2_Ins41abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-373.244	-34.06	-88.048	-62.795	-124.446	-3.952	-30.882	-29.062
Fix_1_2_Isotope_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-368.356	-34.081	-82.862	-62.839	-126.003	-2.08	-30.697	-29.794
Fix_1_2_Isotopeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-374.368	-33.906	-89.329	-63.027	-124.923	-3.334	-30.147	-29.701
Fix_1_2_K_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-364.326	-33.981	-81.215	-62.263	-124.002	-3.555	-29.257	-30.052
Fix_1_2_Kabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.215	-34.325	-89.531	-61.783	-124.521	-2.255	-29.869	-29.931
Fix_1_2_LR04_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.746	-34.297	-89.792	-62.822	-124.067	-2.778	-29.574	-29.416
Fix_1_2_LR04abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-370.546	-33.88	-87.905	-63.1	-123.189	-3.476	-30.792	-28.205
Fix_1_2_Medstack_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-365.889	-34.268	-87.055	-61.685	-121.63	-3.493	-29.424	-28.334
Fix_1_2_Medstackabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-376.242	-33.799	-90.231	-63.297	-125.03	-2.853	-30.624	-30.408
Fix_1_2_Quartz_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-366.699	-33.956	-82.83	-64.099	-123.637	-2.758	-30.155	-29.263
Fix_1_2_Quartzabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.691	-33.792	-89.16	-62.93	-124.975	-2.602	-30.245	-28.988
Fix_1_2_TIC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-370.373	-34.648	-85.409	-62.844	-123.841	-2.699	-30.055	-30.877
Fix_1_2_TICabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-362.823	-34.417	-79.602	-63.26	-123.802	-1.362	-30.655	-29.724
