it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
337500	-470.50886554704846	-30.037829927580233	-440.47103561946824	4	3	1.2683505124556755	14.993966983491701	0.0	1587.411860981415
340000	-480.94100461510425	-30.624825479863219	-450.31617913524104	5	3	3.9946441795695034	14.993966983491701	0.0	1587.411860981415
342500	-469.62580095735797	-27.203827645329	-442.42197331202897	4	3	2.5060236271794425	14.993966983491701	0.0	1587.411860981415
345000	-468.56496276771168	-27.381207831435283	-441.18375493627639	4	3	2.476017053134451	14.993966983491701	0.0	1587.411860981415
347500	-466.10979114820321	-27.242385730545365	-438.86740541765784	4	3	2.862079379167558	14.993966983491701	0.0	1587.411860981415
350000	-471.62231019061818	-27.301573018435761	-444.32073717218242	4	3	2.9557159901212025	14.993966983491701	0.0	1587.411860981415
352500	-477.10694499745432	-27.456315011919219	-449.65062998553509	4	3	4.666920861787031	14.993966983491701	0.0	1587.411860981415
355000	-467.68887047327541	-27.92303176624381	-439.76583870703161	4	3	2.009011818806207	14.993966983491701	0.0	1587.411860981415
357500	-476.02264579578753	-28.660276783449472	-447.36236901233804	4	3	1.5779006606019765	14.993966983491701	0.0	1587.411860981415
360000	-469.58144844236665	-32.188665747286478	-437.3927826950802	5	3	1.856103787723357	14.993966983491701	0.0	1587.411860981415
362500	-472.15295453574873	-30.912920873897249	-441.2400336618515	5	3	2.468973314414545	14.993966983491701	0.0	1587.411860981415
365000	-471.65760811925952	-27.277611210787551	-444.37999690847198	4	3	3.2893956489924627	14.993966983491701	0.0	1587.411860981415
367500	-475.63892883041348	-30.705696463504133	-444.93323236690935	5	3	2.975927799847626	14.993966983491701	0.0	1587.411860981415
370000	-470.20568596964699	-28.098527180102899	-442.10715878954409	4	3	2.2018628418534294	14.993966983491701	0.0	1587.411860981415
372500	-472.96111709393	-30.632374523506005	-442.32874257042397	5	3	3.944862159614474	14.993966983491701	0.0	1587.411860981415
375000	-469.07126258850371	-27.712641744794315	-441.35862084370939	4	3	2.372119889845576	14.993966983491701	0.0	1587.411860981415
377500	-475.55845549603299	-24.397265576209943	-451.16118991982307	4	2	2.2418550644200277	14.993966983491701	0.0	1587.411860981415
380000	-474.84176045169619	-24.380654630094845	-450.46110582160134	4	2	2.881583254131201	14.993966983491701	0.0	1587.411860981415
382500	-471.82742570639107	-27.443455346374904	-444.38397036001618	4	3	2.751405678675254	14.993966983491701	0.0	1587.411860981415
385000	-474.734365643979	-29.028947022910778	-445.70541862106825	4	3	1.4205154778718372	14.993966983491701	0.0	1587.411860981415
387500	-473.28550298263082	-28.32574027391545	-444.95976270871535	4	3	1.9120899016026	14.993966983491701	0.0	1587.411860981415
390000	-470.89078065716376	-27.008853643229052	-443.88192701393473	4	3	3.019333383522322	14.993966983491701	0.0	1587.411860981415
392500	-470.55434968785619	-30.778571874255224	-439.77577781360094	5	3	3.051539737265479	14.993966983491701	0.0	1587.411860981415
395000	-477.24072379211231	-30.5024889144516	-446.73823487766072	5	3	2.9857450686410036	14.993966983491701	0.0	1587.411860981415
397500	-469.39868063777436	-28.471336983029161	-440.92734365474519	4	3	2.0622086273261657	14.993966983491701	0.0	1587.411860981415
400000	-470.64955632554489	-30.456112871093946	-440.19344345445097	4	4	3.689462180325367	14.993966983491701	0.0	1587.411860981415
402500	-469.19518930471548	-30.57613374178446	-438.61905556293101	4	4	3.484259270159909	14.993966983491701	0.0	1587.411860981415
405000	-471.28611188237358	-32.587750363030132	-438.69836151934345	4	4	1.9070516726970896	14.993966983491701	0.0	1587.411860981415
407500	-470.59277521322844	-33.153008382141664	-437.43976683108679	5	4	4.019046623146255	14.993966983491701	0.0	1587.411860981415
410000	-470.63129563133299	-30.537293577133724	-440.09400205419928	4	4	3.131244402453234	14.993966983491701	0.0	1587.411860981415
412500	-475.14193931330738	-30.63358942397246	-444.50834988933491	4	4	3.3278217846427243	14.993966983491701	0.0	1587.411860981415
415000	-475.93068383490152	-31.720294863707611	-444.21038897119388	4	4	2.4208225507407914	14.993966983491701	0.0	1587.411860981415
417500	-469.53637919084707	-30.70422168143493	-438.83215750941213	4	4	1.7739538187529695	14.993966983491701	0.0	1587.411860981415
420000	-466.16258652969776	-30.724797291942469	-435.43778923775528	4	4	3.0849709628315702	14.993966983491701	0.0	1587.411860981415
422500	-476.63541769924166	-30.133967254226295	-446.50145044501534	4	4	3.006600903532379	14.993966983491701	0.0	1587.411860981415
425000	-468.05862657627688	-30.851949938627413	-437.20667663764948	4	4	1.5122461849309428	14.993966983491701	0.0	1587.411860981415
427500	-475.06894218781417	-36.941801449665903	-438.12714073814828	4	6	4.093292534666927	14.993966983491701	0.0	1587.411860981415
430000	-468.44875414777891	-30.53050520941397	-437.91824893836497	4	4	3.0881128109317784	14.993966983491701	0.0	1587.411860981415
432500	-472.18994623459827	-30.58650462861258	-441.60344160598567	4	4	3.7119825019576522	14.993966983491701	0.0	1587.411860981415
435000	-470.96357868721162	-34.435289601809473	-436.52828908540215	4	4	1.4594640934533856	14.993966983491701	0.0	1587.411860981415
437500	-468.29594599256654	-35.515805178215366	-432.78014081435117	5	4	3.0236188808073003	14.993966983491701	0.0	1587.411860981415
440000	-473.7246961787074	-30.852765403269828	-442.87193077543759	4	4	3.2167095072346132	14.993966983491701	0.0	1587.411860981415
442500	-468.24692392848721	-30.068734575092776	-438.17818935339443	4	4	4.134260626626386	14.993966983491701	0.0	1587.411860981415
445000	-473.42832050331305	-31.917467476805832	-441.51085302650722	4	4	1.9056104795672761	14.993966983491701	0.0	1587.411860981415
447500	-466.49371211565398	-31.240532367626756	-435.25317974802721	4	4	2.8309138429385197	14.993966983491701	0.0	1587.411860981415
450000	-471.40715780528285	-31.89782848532683	-439.50932931995601	4	4	2.779296461188743	14.993966983491701	0.0	1587.411860981415
452500	-470.16728339831013	-30.87179183488605	-439.29549156342409	4	4	5.086554484730046	14.993966983491701	0.0	1587.411860981415
455000	-473.40536155765665	-26.944272134810348	-446.46108942284627	4	3	3.178705474982693	14.993966983491701	0.0	1587.411860981415
457500	-468.31162127452683	-27.310705302718642	-441.00091597180818	4	3	3.4192032191964197	14.993966983491701	0.0	1587.411860981415
460000	-474.19046533165238	-24.695060064403847	-449.49540526724854	4	2	5.0734007743383485	14.993966983491701	0.0	1587.411860981415
462500	-470.47425768652039	-27.59243206001976	-442.88182562650064	4	3	5.051393801439414	14.993966983491701	0.0	1587.411860981415
