"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_060"	"extant"	4.42949	4.45349	1
"SP_060"	"extant"	4.983791	5.007791	1
"SP_060"	"extant"	5.159798	5.183798	1
"SP_060"	"extant"	5.2024665	5.2264665	1
"SP_060"	"extant"	5.292084	5.316084	1
"SP_060"	"extant"	6.1401215	6.1641215	1
"SP_060"	"extant"	6.295531	6.319531	1
"SP_060"	"extant"	6.451597	6.475597	1
"SP_060"	"extant"	6.491394	6.515394	1
"SP_060"	"extant"	10.751195	10.775195	1
"SP_060"	"extant"	12.13366	12.15766	1
"SP_060"	"extant"	12.182235	12.206235	1
"SP_060"	"extant"	12.948825	12.972825	1
"SP_069"	"extant"	1.8433835	1.8673835	1
"SP_069"	"extant"	2.0349755	2.0589755	1
"SP_069"	"extant"	4.6858485	4.7098485	1
"SP_070"	"extinct"	6.491394	6.515394	1
"SP_070"	"extinct"	6.5664415	6.5904415	1
"SP_070"	"extinct"	12.82994	12.85394	1
"SP_073"	"extinct"	4.3669185	4.3909185	1
"SP_073"	"extinct"	4.42949	4.45349	1
"SP_073"	"extinct"	4.4823795	4.5063795	1
"SP_073"	"extinct"	4.534388	4.558388	1
"SP_073"	"extinct"	4.5785375	4.6025375	1
"SP_073"	"extinct"	4.612634	4.636634	1
"SP_073"	"extinct"	4.649512	4.673512	1
"SP_073"	"extinct"	4.6858485	4.7098485	1
"SP_073"	"extinct"	4.7153835	4.7393835	1
"SP_073"	"extinct"	4.7438765	4.7678765	1
"SP_073"	"extinct"	4.774172	4.798172	1
"SP_073"	"extinct"	4.802401	4.826401	1
"SP_073"	"extinct"	4.829295	4.853295	1
"SP_073"	"extinct"	4.860209	4.884209	1
"SP_073"	"extinct"	4.892421	4.916421	1
"SP_073"	"extinct"	4.9329415	4.9569415	1
"SP_073"	"extinct"	4.983791	5.007791	1
"SP_073"	"extinct"	5.0438365	5.0678365	1
"SP_073"	"extinct"	5.1122375	5.1362375	1
"SP_073"	"extinct"	5.159798	5.183798	1
"SP_073"	"extinct"	5.2024665	5.2264665	1
"SP_073"	"extinct"	5.2492985	5.2732985	1
"SP_073"	"extinct"	5.292084	5.316084	1
"SP_073"	"extinct"	5.3194995	5.3434995	1
"SP_073"	"extinct"	5.342705	5.366705	1
"SP_073"	"extinct"	5.372114	5.396114	1
"SP_073"	"extinct"	5.4190225	5.4430225	1
"SP_073"	"extinct"	5.4595765	5.4835765	1
"SP_073"	"extinct"	5.50227	5.52627	1
"SP_073"	"extinct"	5.5435185	5.5675185	1
"SP_073"	"extinct"	5.5808565	5.6048565	1
"SP_073"	"extinct"	5.6153415	5.6393415	1
"SP_073"	"extinct"	5.6422795	5.6662795	1
"SP_073"	"extinct"	5.66852	5.69252	1
"SP_073"	"extinct"	5.6964265	5.7204265	1
"SP_073"	"extinct"	5.7258985	5.7498985	1
"SP_073"	"extinct"	5.7551055	5.7791055	1
"SP_073"	"extinct"	5.784153	5.808153	1
"SP_073"	"extinct"	5.810212	5.834212	1
"SP_073"	"extinct"	5.837619	5.861619	1
"SP_073"	"extinct"	5.872251	5.896251	1
"SP_073"	"extinct"	5.902877	5.926877	1
"SP_073"	"extinct"	5.93751	5.96151	1
"SP_073"	"extinct"	5.977856	6.001856	1
"SP_073"	"extinct"	6.012342	6.036342	1
