Age	DecOak
759.48	19.5876
761.21	6.61157
763.02	17.8218
764.83	21.0702
766.6	2.53807
768.39	18.018
770.2	31.5493
772.07	41.2121
774.46	29.055
777.1	22.3757
780.06	31.5956
783.21	19.5876
786.07	60.061
788.8	12.9129
790.97	6.08365
792.74	0
794.98	0.452489
797.63	2.05761
800.24	5
802.85	2.28311
805.53	16.055
808.33	8.4507
810.89	25.4386
813.16	36.1111
815.33	36.8644
817.39	23.301
819.36	34.3434
821.2	33.5065
822.94	3.37079
824.5	26.087
826.14	44.7458
827.97	25.2747
830.15	6.66667
833.11	28.2353
836.32	9.52381
840.32	43.4109
844.28	46.8599
848.23	23.0769
852.24	21.4286
856.34	29.7143
860.4	28.4091
864.35	0
868.14	0
870.56	6.0241
872.9	8
874.66	10.6796
876.44	0
878.58	2.29885
880.7	1.25786
882.63	4.66667
884.56	0.561798
886.66	0.854701
888.78	4.83092
891.88	12.1547
894.99	7.03125
898.79	7.48299
902.6	3.94089
906.17	16.0494
909.72	19.2771
914.31	3.26087
919.09	0
921.1	5.42636
922.62	5.88235
924.04	8.51064
925.44	2.1978
927.02	19.6721
928.66	7.54717
930.25	0
931.84	2.54237
933.42	25
935.03	11.5646
936.71	22.1154
938.41	46.4516
940.03	54.3379
941.58	44.0367
943.27	27.972
944.98	35.461
946.76	27.9236
948.6	17.0478
950.34	20.9524
952.03	23.0435
953.84	32.0346
955.75	61.7729
957.62	59.0406
959.5	45.8599
961.25	45.6897
962.89	18.7097
964.4	19.4444
965.78	5.22388
967.1	14.2857
968.34	5.23256
969.59	10.5263
970.86	22.561
972.13	10.1911
973.44	40
974.77	48.8462
976.08	48.3516
977.43	32.7957
978.63	44.4976
979.8	38.6364
980.91	16.0643
982.04	51.752
983.31	11.3772
984.71	19.7479
986.68	18.6747
988.86	24.6951
992.25	42.9952
995.61	27.7778
999.23	32.7586
1002.77	18.9189
1005.62	9.43396
1008.41	23
1010.25	31.7073
1012.06	8.06452
1013.81	0
1015.56	33.5526
1017.32	33.7931
1019.06	13.8686
1020.86	13.7097
1022.64	29.6296
1024.34	45.3441
1026.05	46.281
1027.75	14.5455
1029.47	28.2609
1030.98	40.796
1032.49	23.0216
1034.22	10
1036.01	2.29885
1038.35	14.2857
1040.75	7.92079
1043.24	9.34959
1045.78	3.6036
1048.39	7.64706
1051.03	25.7732
1053.52	19.8529
1056	18.4615
1058.13	6.79612
1060.09	8.87097
1061.88	9.69388
1063.56	10.6061
1065.2	14.0625
1066.85	22.6994
1068.53	35.7414
1070.26	39.2523
1072.14	62.7119
1074.19	50.5929
1076.32	34.0502
1078.56	42.8044
1080.8	47.8102
1083.03	25.6716
1085.3	35.7576
1087.57	17
1089.9	34.375
1092.32	18.9189
1094.61	35.2
1096.74	16.8675
1098.84	0
1100.85	14.2857
1102.77	20.9877
1104.65	23.3766
1106.54	49.6951
1108.53	47.8261
1110.49	29.3388
1112.42	51.7857
1114.34	46.371
1116.21	31.5385
1118.12	0
1120.19	4.62428
1122.32	6.81818
1124.7	1.85185
1127.09	9.80392
1129.62	23.0769
1132.19	14.5833
1135.21	11
1138.18	1.51515
1141.2	27.3504
1144.22	7.69231
1147.38	39.1304
1150.51	41.1765
1152.09	19.7452
1153.63	30.8824
1155.51	28.2609
1157.36	23.4043
1159.34	21.9512
1161.33	35.2941
1163.02	48.2143
1164.71	57.6299
1166.45	60.9562
1168.24	67.7885
1170.02	26.4099
1171.8	23.949
1174.79	17.973
1177.96	16.0173
1181.14	21.6954
1184.32	60.4569
1188.38	49.6942
1192.72	25.7576
1196.67	50.4983
1200.45	18.0233
1204.66	12.7072
1209.05	39.4572
1212.09	18.617
1214.57	13.4783
1217	15.5039
1219.42	21.2707
1221.87	51.3393
1224.34	37.2014
1226.69	41.3695
1229.03	36.228
1231.06	26.6846
1232.94	28.877
1234.72	27.1357
1236.62	32.7362
1238.5	55.2469
1240.38	51.8325
1242.31	54.1586
1244.3	49.0066
1246.14	33.9921
1247.87	35.2798
1250.02	6.27615
1252.82	12.8049
1255.89	31.982
1259.52	50.4918
1262.94	38.7978
1266.1	21.729
1270.58	24.9012
1277.88	13.6476
1284.19	34.2495
1288.08	30.9333
1291.54	43.6482
1293.8	19.0981
1296.08	22.2488
1298.48	21.5278
1300.91	23.8193
1303.62	31.8919
1306.18	41.573
1308.28	43.761
1310.38	35.6895
1312.6	36.2264
1314.81	36.8421
1317.11	39.2857
1319.4	21.5962
1321.54	15.1515
1323.92	9.65517
1332.2	18.6667
1339.46	6.61765
1341.94	4.8
1344.67	8.58209
1346.45	13.0802
1348.2	19.2547
1349.92	39.7037
1351.65	38.9809
1353.25	53.9455
1354.81	51.3399
1356.53	43.6185
1358.28	48.6601
1359.93	54.321
1361.61	52.1295
1363.18	42.6513
