Age	Quartz
102.62	0.161191
102.98	0.196773
103.33	0.196647
103.69	0.256599
104.04	0.286603
104.39	0.302444
104.75	0.17061
105.1	0.206833
105.46	0.156243
105.83	0.196862
106.19	0.179036
106.55	0.212763
106.92	0.220023
107.28	0.340249
107.75	0.285465
108.27	0.235121
108.8	0.152748
109.33	0.325093
109.85	0.226022
110.37	0.256451
110.89	0.2581
111.42	0.263069
111.98	0.1943
112.61	0.237212
113.23	0.23082
113.84	0.249233
114.45	0.22679
115.07	0.208107
115.69	0.202055
116.3	0.209866
116.93	0.185813
117.6	0.277724
118.27	0.23171
118.96	0.213484
119.64	0.166611
120.31	0.18485
120.98	0.199348
121.64	0.16631
122.29	0.138906
122.93	0.120769
123.58	0.128956
124.23	0.122699
124.84	0.126126
125.54	0.0883194
126.2	0.0833301
126.86	0.0752032
127.5	0.134073
128.06	0.204549
128.59	0.241549
129.19	0.263347
129.75	0.25895
130.31	0.268175
130.88	0.275342
131.44	0.297807
132.01	0.274041
132.49	0.293593
132.97	0.304213
133.46	0.304799
133.94	0.298612
134.42	0.337479
134.87	0.27991
135.38	0.309343
135.85	0.297319
136.29	0.302889
136.73	0.308748
137.2	0.315679
137.62	0.34324
138.05	0.369244
138.92	0.301984
139.83	0.358065
140.6	0.305558
141.45	0.332383
142.3	0.372618
143.17	0.365477
143.95	0.369782
144.74	0.362622
145.62	0.429421
146.44	0.342876
147.24	0.339247
148.05	0.340022
148.86	0.345686
149.64	0.332577
150.29	0.343602
150.95	0.331213
151.61	0.306654
152.27	0.309839
152.98	0.366981
153.69	0.314391
154.41	0.316454
155.11	0.307697
155.51	0.316707
155.91	0.331118
156.31	0.326529
156.7	0.327892
157.05	0.297358
157.41	0.326286
157.77	0.292679
158.12	0.29593
158.51	0.326307
158.89	0.343939
159.27	0.337473
159.64	0.373156
160.08	0.33266
160.52	0.352755
160.95	0.354865
161.38	0.3504
161.81	0.355737
162.26	0.338319
162.7	0.329006
163.14	0.335844
163.63	0.400562
164.12	0.313978
164.63	0.330301
165.13	0.315988
165.63	0.307158
166.13	0.292838
